Project URL,SHA Detected,Subproject Name,Fully-Qualified Test Name (packageName.ClassName.methodName)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-metadata,org.apache.pulsar.metadata.LeaderElectionTest#revalidateLeaderWithinSameSession[RocksDB, org.apache.pulsar.metadata.BaseMetadataStoreTest$$Lambda$908/0x0000000080786cb0@cc81cb3](8)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-metadata,org.apache.bookkeeper.replication.AutoRecoveryMainTest#testAutoRecoverySessionLoss
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-client-original,org.apache.pulsar.client.impl.schema.ProtobufNativeSchemaTest#testSchema
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-client-original,org.apache.pulsar.client.impl.schema.ProtobufSchemaTest#testParsingInfoProperty
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-functions-utils,org.apache.pulsar.functions.utils.SourceConfigUtilsTest#testBatchConfigMergeEqual
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-functions-utils,org.apache.pulsar.functions.utils.FunctionConfigUtilsTest#testConvertBackFidelity
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-functions-utils,org.apache.pulsar.functions.utils.SinkConfigUtilsTest#testConvertBackFidelity
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.compaction.StrategicCompactionRetentionTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.compaction.StrategicCompactionRetentionTest#cleanup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.NegativeAcksTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.NegativeAcksTest#stateCheck[public void org.apache.pulsar.client.impl.NegativeAcksTest.testMultiTopicConsumerConcurrentRedeliverAndReceive() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.NegativeAcksTest#stateCheck[public void org.apache.pulsar.client.impl.NegativeAcksTest.testNegativeAcks(boolean,boolean,org.apache.pulsar.client.api.SubscriptionType,int,int) throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.NegativeAcksTest#stateCheck[public void org.apache.pulsar.client.impl.NegativeAcksTest.testNegativeAcksDeleteFromUnackedTracker() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.NegativeAcksTest#stateCheck[public void org.apache.pulsar.client.impl.NegativeAcksTest.testNegativeAcksWithBackoff(boolean,boolean,org.apache.pulsar.client.api.SubscriptionType,int,int) throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.NegativeAcksTest#stateCheck[public void org.apache.pulsar.client.impl.NegativeAcksTest.testNegativeAcksWithBatchAckEnabled() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.DynamicReceiverQueueSizeTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.DynamicReceiverQueueSizeTest#stateCheck[public void org.apache.pulsar.client.impl.DynamicReceiverQueueSizeTest.testMultiConsumerImpl() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.impl.MessageChunkingTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.compaction.CompactionTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.compaction.CompactionTest#cleanup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#stateCheck[public void org.apache.pulsar.client.api.ClientDeduplicationTest.testKeyBasedBatchingOrder() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#stateCheck[public void org.apache.pulsar.client.api.ClientDeduplicationTest.testProducerDeduplication() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#stateCheck[public void org.apache.pulsar.client.api.ClientDeduplicationTest.testProducerDeduplicationNonBatchAsync() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#stateCheck[public void org.apache.pulsar.client.api.ClientDeduplicationTest.testProducerDeduplicationWithDiscontinuousSequenceId(org.apache.pulsar.client.api.BatcherBuilder) throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#stateCheck[public void org.apache.pulsar.client.api.ClientDeduplicationTest.testProducerSequenceAfterReconnect() throws java.lang.Exception](0)
